arm,alpha,unit,density_run,beam,algo,beam_IoU,exact_IoU,beam_cov,exact_cov,no_solution,same_mask,beam_visited,exact_visited,beam_expanded,exact_expanded,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
trained,0.05,unit87,0.04996,100,beam_optimal,0.0721,0.0721,0.1517,0.1517,0,1,1671,1795,109,713,0.2,5.78,no,no,((dep=prep AND (NOT const=NP)) OR dep=punct),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit87,0.04996,200,beam_optimal,0.0721,0.0721,0.1517,0.1517,0,1,2643,1795,202,713,0.34,5.78,no,no,((dep=prep AND (NOT const=NP)) OR dep=punct),((dep=prep AND (NOT const=NP)) OR dep=punct)
trained,0.05,unit91,0.05,5,beam_optimal,0.1095,0.1095,0.1527,0.1527,0,1,87,556,15,432,0.02,0.83,no,no,((dep=nsubj AND const=NP) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,10,beam_optimal,0.1095,0.1095,0.1527,0.1527,0,1,135,556,21,432,0.03,0.83,no,no,((dep=nsubj AND const=NP) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,25,beam_optimal,0.1095,0.1095,0.1527,0.1527,0,1,252,556,34,432,0.04,0.83,no,no,((dep=nsubj AND const=NP) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,50,beam_optimal,0.1095,0.1095,0.1527,0.1527,0,1,441,556,59,432,0.09,0.83,no,no,((dep=nsubj AND const=NP) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,100,beam_optimal,0.1095,0.1095,0.1527,0.1527,0,1,691,556,106,432,0.16,0.83,no,no,((dep=nsubj AND const=NP) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit91,0.05,200,beam_optimal,0.1095,0.1095,0.1527,0.1527,0,1,968,556,200,432,0.33,0.83,no,no,((dep=nsubj AND const=NP) OR dep=ROOT),((const=NP AND dep=nsubj) OR dep=ROOT)
trained,0.05,unit395,0.04992,5,beam_optimal,0.0888,0.0954,0.1345,0.2495,0,0,86,585,15,477,0.02,1.04,no,no,((dep=nsubj AND tag=NN) OR dep=ROOT),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
trained,0.05,unit395,0.04992,10,beam_optimal,0.0954,0.0954,0.2495,0.2495,0,1,136,585,22,477,0.03,1.04,no,no,((const=NP AND (NOT const=VP)) AND (NOT tag=DT)),((const=NP AND (NOT const=VP)) AND (NOT tag=DT))
