arm,alpha,unit,density_run,n_fire_neuron,beam,beam_IoU,exact_IoU,beam_cov,exact_cov,same_mask,same_proxy,same_string,beam_peak,exact_peak,cap_bound,beam_visited,exact_visited,beam_time_s,exact_time_s,beam_halted,exact_halted,beam_formula,exact_formula
untrained,0.2,unit510,0.20001,4840,50,0.2652,0.2713,0.3041,0.3307,0,0,0,92,681,1,88,350,0.06,0.52,no,no,((dep=punct AND lemma=.) OR tag=NN),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,4840,100,0.2652,0.2713,0.3041,0.3307,0,0,0,139,681,1,160,350,0.14,0.52,no,no,((dep=punct AND lemma=.) OR tag=NN),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.2,unit510,0.20001,4840,200,0.2713,0.2713,0.3307,0.3307,1,1,1,239,681,1,128,350,0.21,0.52,no,no,((tag=NN OR dep=nsubj) OR lemma=.),((tag=NN OR dep=nsubj) OR lemma=.)
untrained,0.1,unit88,0.1,2420,5,0.1081,0.1353,0.2292,0.2118,0,0,0,47,1363,1,2,1127,0.01,1.92,no,no,((const=NP OR const=VP) AND tag=NN),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,2420,10,0.1081,0.1353,0.2292,0.2118,0,0,0,52,1363,1,8,1127,0.01,1.92,no,no,((const=NP OR const=VP) AND tag=NN),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,2420,25,0.1084,0.1353,0.5249,0.2118,0,0,0,71,1363,1,11,1127,0.02,1.92,no,no,(const=PP OR tag=NN),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,2420,50,0.1102,0.1353,0.5689,0.2118,0,0,0,99,1363,1,33,1127,0.05,1.92,no,no,((dep=punct AND (NOT lemma=.)) OR const=VP),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,2420,100,0.1108,0.1353,0.5608,0.2118,0,0,0,149,1363,1,51,1127,0.1,1.92,no,no,((lemma=. AND (NOT dep=punct)) OR const=VP),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit88,0.1,2420,200,0.1353,0.1353,0.2118,0.2118,1,1,1,251,1363,1,366,1127,0.38,1.92,no,no,((const=PP AND (NOT tag=DT)) AND (NOT dep=prep)),((const=PP AND (NOT tag=DT)) AND (NOT dep=prep))
untrained,0.1,unit92,0.09996,2419,5,0.1235,0.1947,0.4392,0.1924,0,0,0,40,614,1,3,334,0.01,0.46,no,no,(NOT const=VP),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit92,0.09996,2419,10,0.1903,0.1947,0.1854,0.1924,0,0,0,44,614,1,9,334,0.01,0.46,no,no,((tag=NN OR dep=punct) AND (NOT const=VP)),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit92,0.09996,2419,25,0.1816,0.1947,0.1396,0.1924,0,0,0,59,614,1,7,334,0.02,0.46,no,no,((tag=NN AND dep=nsubj) OR dep=punct),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit92,0.09996,2419,50,0.1947,0.1947,0.1924,0.1924,1,1,1,86,614,1,54,334,0.05,0.46,no,no,((tag=NN AND (NOT const=VP)) OR dep=punct),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit92,0.09996,2419,100,0.1947,0.1947,0.1924,0.1924,1,1,1,136,614,1,92,334,0.09,0.46,no,no,((tag=NN AND (NOT const=VP)) OR dep=punct),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit92,0.09996,2419,200,0.1947,0.1947,0.1924,0.1924,1,1,1,238,614,1,149,334,0.2,0.46,no,no,((tag=NN AND (NOT const=VP)) OR dep=punct),((tag=NN AND (NOT const=VP)) OR dep=punct)
untrained,0.1,unit396,0.1,2420,5,0.1047,0.1486,0.6649,0.1772,0,0,0,46,1155,1,6,519,0.01,0.99,no,no,(const=VP OR tag=NN),((tag=NN AND (NOT const=VP)) OR lemma=.)
